Index,State,Year,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Studio_Percent_Change,One_Bedroom_Percent_Change,Two_Bedroom_Percent_Change,Three_Bedroom_Percent_Change,Four_Bedroom_Percent_Change
290,OK,2019,48718.844155844155,520.5454545454545,577.922077922078,732.5064935064935,975.025974025974,1116.935064935065,1.1226883972046187,-0.28234661408147455,-0.5132818287649554,-0.6760332327882757,-0.6515109509287575
291,OK,2020,50600.844155844155,531.0909090909091,576.4155844155844,728.1688311688312,964.8571428571429,1103.2207792207791,2.025847013622095,-0.2606741573033866,-0.5921670833111681,-1.04292925929379,-1.2278498674480276
292,OK,2021,50600.844155844155,568.7402597402597,601.4675324675325,762.4155844155844,1004.6233766233767,1149.064935064935,7.089059519733931,4.346160778658992,4.703133638909196,4.12146337523891,4.155483354522782
293,OK,2022,50600.844155844155,585.0519480519481,612.5454545454545,776.3636363636364,1021.7402597402597,1167.7662337662337,2.8680382709565633,1.8418154729773484,1.829455251592682,1.7038109519623479,1.6275232261127037
294,OK,2023,51290.155844155845,632.8051948051948,661.1818181818181,837.5844155844156,1094.8311688311687,1260.935064935065,8.162223356789266,7.94004155535768,7.885580461692876,7.153570429875167,7.978380302053001
295,OK,2024,51290.155844155845,700.0649350649351,737.8311688311688,932.8961038961039,1215.142857142857,1407.2727272727273,10.62882239461478,11.592779556480926,11.379353118119507,10.989063130174848,11.605487578791251
297,OR,2018,106418.72222222222,617.3333333333334,709.5833333333334,890.6111111111111,1268.7222222222222,1496.861111111111,7.831149927219805,7.63493869295917,7.320502092050218,7.346996333552691,6.662575958512296
298,OR,2019,106418.72222222222,650.1388888888889,748.6944444444445,935.3611111111111,1330.0833333333333,1563.8333333333333,5.314074874010077,5.511841847719712,5.0246397604641,4.836449621228711,4.474177445395
299,OR,2020,111808.75,718.5277777777778,820.2777777777778,1021.9166666666666,1451.138888888889,1703.5277777777778,10.519119846186719,9.561087819537729,9.253704748611646,9.10135121024165,8.932821769867495
300,OR,2021,111808.75,743.9444444444445,843.4722222222222,1052.5555555555557,1485.138888888889,1754.5277777777778,3.5373255499284717,2.827632915678957,2.998178803446705,2.3429873088187447,2.993787401959991
301,OR,2022,111808.75,800.6666666666666,903.2222222222222,1124.3333333333333,1577.7777777777778,1863.1944444444443,7.624523933985516,7.0838136011855735,6.819381399767743,6.237725614888245,6.193499358801824
302,OR,2023,116009.61111111111,873.0833333333334,977.5833333333334,1218.75,1711.8055555555557,2012.5833333333333,9.044546211490445,8.232869971706247,8.397568929736154,8.49471830985915,8.017890421170337
