Index,Year,State,County,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom
69,2024,AK,Anchorage Municipality,292090,996.0,1107.0,1454.0,2049.0,2467.0
70,2024,AK,Bethel Census Area,18263,1587.0,1597.0,1957.0,2366.0,2710.0
71,2024,AK,Bristol Bay Borough,739,872.0,949.0,1237.0,1743.0,1892.0
72,2024,AK,Chugach Census Area,6495,989.0,1077.0,1404.0,1837.0,2147.0
73,2024,AK,Copper River Census Area,2894,832.0,906.0,1181.0,1545.0,1806.0
74,2024,AK,Denali Borough,2502,995.0,1083.0,1412.0,1847.0,2159.0
75,2024,AK,Dillingham Census Area,4934,903.0,1142.0,1282.0,1681.0,1707.0
76,2024,AK,Fairbanks North Star Borough,98455,1116.0,1253.0,1646.0,2320.0,2793.0
77,2024,AK,Haines Borough,2547,1036.0,1128.0,1470.0,1923.0,2248.0
78,2024,AK,Hoonah-Angoon Census Area,2135,936.0,1018.0,1329.0,1607.0,1770.0
79,2024,AK,Juneau City and Borough,32099,1138.0,1307.0,1679.0,2291.0,2299.0
80,2024,AK,Kenai Peninsula Borough,58809,984.0,990.0,1301.0,1833.0,2090.0
81,2024,AK,Ketchikan Gateway Borough,13833,1048.0,1177.0,1546.0,2140.0,2624.0
82,2024,AK,Kodiak Island Borough,13383,1228.0,1379.0,1812.0,2220.0,2622.0
83,2024,AK,Kusilvak Census Area,8298,638.0,694.0,905.0,1275.0,1384.0
84,2024,AK,Lake and Peninsula Borough,1156,660.0,820.0,937.0,1320.0,1433.0
85,2024,AK,Matanuska-Susitna Borough,107360,919.0,974.0,1280.0,1804.0,2172.0
86,2024,AK,Nome Census Area,10009,1250.0,1258.0,1497.0,2110.0,2289.0
87,2024,AK,North Slope Borough,9375,1288.0,1447.0,1901.0,2299.0,2532.0
88,2024,AK,Northwest Arctic Borough,7709,1277.0,1434.0,1884.0,2611.0,2881.0
89,2024,AK,Petersburg Borough,3278,955.0,1099.0,1355.0,1638.0,2099.0
90,2024,AK,Prince of Wales-Hyder Census Area,6338,840.0,927.0,1041.0,1413.0,1420.0
91,2024,AK,Sitka City and Borough,8569,1044.0,1221.0,1466.0,2066.0,2488.0
92,2024,AK,Skagway Municipality,1300,1046.0,1174.0,1543.0,1866.0,2359.0
93,2024,AK,Southeast Fairbanks Census Area,6911,922.0,1083.0,1309.0,1708.0,2168.0
94,2024,AK,Wrangell City and Borough,2510,776.0,839.0,1102.0,1462.0,1468.0
95,2024,AK,Yakutat City and Borough,597,916.0,997.0,1300.0,1586.0,1988.0
96,2024,AK,Yukon-Koyukuk Census Area,5305,929.0,955.0,1072.0,1453.0,1639.0
97,2024,AZ,Apache County,71714,716.0,804.0,1057.0,1417.0,1461.0
98,2024,AZ,Cochise County,126442,770.0,913.0,1067.0,1504.0,1811.0
99,2024,AZ,Coconino County,142254,1448.0,1537.0,1863.0,2253.0,2633.0
100,2024,AZ,Gila County,53846,855.0,960.0,1262.0,1778.0,1846.0
101,2024,AZ,Graham County,38304,928.0,933.0,1157.0,1611.0,1963.0
102,2024,AZ,Greenlee County,9465,742.0,974.0,1094.0,1323.0,1457.0
103,2024,AZ,La Paz County,21035,801.0,900.0,1182.0,1666.0,2006.0
104,2024,AZ,Maricopa County,4412779,1460.0,1599.0,1877.0,2541.0,2890.0
105,2024,AZ,Mohave County,210998,858.0,935.0,1211.0,1671.0,1847.0
106,2024,AZ,Navajo County,110271,856.0,906.0,1190.0,1509.0,1585.0
107,2024,AZ,Pima County,1038476,906.0,1018.0,1337.0,1884.0,2206.0
108,2024,AZ,Pinal County,447559,1460.0,1599.0,1877.0,2541.0,2890.0
109,2024,AZ,Santa Cruz County,46594,693.0,778.0,1022.0,1440.0,1472.0
110,2024,AZ,Yavapai County,232396,951.0,1140.0,1403.0,1943.0,2273.0
111,2024,AZ,Yuma County,211931,956.0,962.0,1264.0,1752.0,2145.0
112,2024,AR,Arkansas County,17761,581.0,652.0,857.0,1050.0,1348.0
113,2024,AR,Ashley County,20000,653.0,657.0,814.0,984.0,1381.0
114,2024,AR,Baxter County,41673,674.0,678.0,891.0,1119.0,1257.0
115,2024,AR,Benton County,273510,871.0,924.0,1121.0,1580.0,1847.0
116,2024,AR,Boone County,37525,552.0,647.0,814.0,1147.0,1251.0
117,2024,AR,Bradley County,10805,604.0,645.0,814.0,1147.0,1148.0
118,2024,AR,Calhoun County,5160,678.0,696.0,915.0,1106.0,1291.0
119,2024,AR,Carroll County,28062,565.0,657.0,834.0,1008.0,1111.0
120,2024,AR,Chicot County,10433,604.0,620.0,814.0,1089.0,1376.0
121,2024,AR,Clark County,22341,665.0,712.0,814.0,1140.0,1293.0
122,2024,AR,Clay County,14710,615.0,620.0,814.0,1050.0,1301.0
123,2024,AR,Cleburne County,25063,650.0,667.0,876.0,1089.0,1167.0
124,2024,AR,Cleveland County,8063,635.0,690.0,906.0,1151.0,1207.0
125,2024,AR,Columbia County,23620,615.0,620.0,814.0,1080.0,1084.0
126,2024,AR,Conway County,20895,604.0,620.0,814.0,1147.0,1233.0
127,2024,AR,Craighead County,109081,634.0,767.0,936.0,1226.0,1560.0
128,2024,AR,Crawford County,63118,674.0,678.0,891.0,1222.0,1437.0
129,2024,AR,Crittenden County,48381,1031.0,1146.0,1298.0,1711.0,1995.0
130,2024,AR,Cross County,16576,604.0,620.0,814.0,1147.0,1381.0
131,2024,AR,Dallas County,7114,604.0,620.0,814.0,1147.0,1148.0
132,2024,AR,Desha County,11538,630.0,634.0,814.0,1121.0,1381.0
